name,name_mn,calories,carbohydrate,sugars,fiber,protein,fat
"Babyfood, junior, lamb, meat",,112.0,0.0,0.0,0.0,15.2,5.2
"Oil, and olive, peanut, corn",,884.0,0.0,0.0,0.0,0.0,100.0
"Soy flour, roasted, full-fat",,439.0,30.38,7.61,9.7,38.09,21.86
"SMART SOUP, Greek Minestrone",,40.0,8.4,2.7,2.7,1.7,0.53
"Cream, lowfat, half and half",,72.0,3.33,3.33,0.0,3.33,5.0
"Milk shakes, thick chocolate",,119.0,21.15,20.85,0.3,3.05,2.7
"Babyfood, arrowroot, cookies",,424.0,75.4,0.0,0.2,7.6,10.0
"Egg, raw, fresh, whole, duck",,185.0,1.45,0.93,0.0,12.81,13.77
"Crackers, whole-wheat, matzo",,351.0,78.9,0.0,11.8,13.1,1.5
"Soup, dry, cubed, beef broth",,170.0,16.1,14.51,0.0,17.3,4.0
"Puddings, ready-to-eat, rice",,108.0,18.39,11.59,0.3,3.23,2.15
"Seeds, raw, breadfruit seeds",,191.0,29.24,0.0,5.2,7.4,5.59
"Yogurt, nonfat, plain, Greek",,59.0,3.6,3.24,0.0,10.19,0.39
"Crackers, reduced fat, wheat",,444.0,71.52,15.01,3.4,9.34,13.37
"Seeds, low-fat, sesame flour",,333.0,35.51,0.0,0.0,50.14,1.75
SILK Black Cherry soy yogurt,,88.0,17.06,11.76,0.6,2.35,1.18
"Ice creams, rich, chocolate",,251.0,19.78,17.35,0.9,4.72,16.98
"Oil, walrus (Alaska Native)",,900.0,0.0,0.0,0.0,0.0,100.0
"Bread, rye, reduced-calorie",,203.0,40.5,2.29,12.0,9.1,2.9
"Frankfurter, unheated, beef",,316.0,3.36,1.31,0.0,11.16,28.3
"Beef sausage, cooked, fresh",,332.0,0.35,0.0,0.0,18.21,27.98
"Luncheon meat, canned, pork",,334.0,2.1,0.0,0.0,12.5,30.3
"MURRAY, Vanilla Sugar Wafer",,527.0,70.0,41.0,1.0,3.9,25.7
"Stew, steamed corn (Navajo)",,112.0,10.8,0.51,2.3,8.82,3.75
"OSCAR MAYER, Bologna (beef)",,316.0,2.45,1.4,0.0,11.05,29.1
"Milk, fluid, indian buffalo",,97.0,5.18,0.0,0.0,3.75,6.89
"ON THE BORDER, Mexican rice",,195.0,34.15,1.38,1.1,3.56,4.86
"Cereals, dry, CREAM OF RICE",,370.0,82.4,0.3,0.7,6.3,0.5
"Nuts, full fat, acorn flour",,501.0,54.65,0.0,0.0,7.49,30.17
"Snacks, smoked, beef sticks",,550.0,5.4,0.0,0.0,21.5,49.6
"Cheese, whole milk, ricotta",,174.0,3.04,0.27,0.0,11.26,12.98
SILK French Vanilla Creamer,,133.0,20.0,20.0,0.0,0.0,6.67
"Bread, canned, boston brown",,195.0,43.3,2.42,4.7,5.2,1.5
"Cheese, queso blanco, white",,310.0,2.53,1.76,0.0,20.38,24.31
"Cheese, queso fresco, fresh",,299.0,2.98,2.32,0.0,18.09,23.82
"Brotwurst, link, beef, pork",,323.0,2.98,2.98,0.0,14.3,27.8
"Pork, cooked, ground, fresh",,297.0,0.0,0.0,0.0,25.69,20.77
"Sausage, raw, pork, Italian",,346.0,0.65,0.0,0.0,14.25,31.33
Ham and cheese loaf or roll,,241.0,4.0,0.0,0.0,13.6,18.7
"CRACKER BARREL, steak fries",,255.0,30.87,0.86,3.5,3.26,13.18
"Pate, canned, chicken liver",,201.0,6.55,0.0,0.0,13.45,13.1
"BURGER KING, Chicken Strips",,292.0,20.49,0.0,1.3,18.2,15.25
"Pork, raw, salt pork, cured",,748.0,0.0,0.0,0.0,5.05,80.5
"Light ice cream, Creamsicle",,165.0,32.75,18.46,0.0,1.54,3.08
"Toppings, marshmallow cream",,322.0,79.0,46.8,0.1,0.8,0.3
"Sandwich spread, beef, pork",,235.0,11.94,0.0,0.2,7.66,17.34
"Potato salad, home-prepared",,143.0,11.17,0.0,1.3,2.68,8.2
"GIRL SCOUTS, Chalet Cookies",,478.0,72.3,35.4,1.5,4.2,19.1
"GIRL SCOUTS, Samoas Cookies",,489.0,64.1,35.8,4.4,3.5,25.8
"Cheese, semisoft type, goat",,364.0,0.12,0.12,0.0,21.58,29.84
"Babyfood, toddler, potatoes",,52.0,11.73,0.91,0.9,1.0,0.1
"Seeds, paste, sesame butter",,586.0,24.05,0.0,5.5,18.08,50.87
"Noodles, enriched, dry, egg",,384.0,71.27,1.88,3.3,14.16,4.44
"Carrots, unprepared, frozen",,36.0,7.9,4.76,3.3,0.78,0.46
"Fast foods, chicken tenders",,271.0,17.25,0.4,1.2,19.22,13.95
"Cream, half and half, fluid",,123.0,4.73,4.13,0.0,3.13,10.39
